cytoband	1q43	Xq25	1q31.1	Xq23	3p12.2	8q23.1	9p24.3	10q21.1	12p12.3	14q12	17q11.2	19q11	19p13.3	21q22.12	Xq21.1	
q value	0.077683	0.077683	0.077683	0.077683	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.24617	
residual q value	0.077683	0.077683	0.1311	0.16079	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.1696	0.24617	
wide peak boundaries	chr1:236899043-236902363	chrX:119792403-155270560	chr1:181032306-195120903	chrX:109243756-109270294	chr3:82845610-82957781	chr8:87934433-146364022	chr9:1-20020985	chr10:58552294-58654153	chr12:1-24039935	chr14:1-62630949	chr17:19645902-29868139	chr19:18533794-29199788	chr19:2831250-2852519	chr21:36319260-48129895	chrX:1-155270560	
genes in wide peak	ACTN2	WASH6P|ENSG00000182484.10	U3|ENSG00000252241.1	TMEM164	[GBE1]	ZNF252P	ACER2	[SNORD2|ENSG00000238707.1]	C12orf39	LINC00644	RN7SL45P	LINC00662	ZNF554	S100B	WASH6P|ENSG00000182484.10	
		WASIR1|ENSG00000185203.7	MIR1278			RN7SL395P	snoU13|ENSG00000238348.1		PYROXD1	LINC00643	RN7SL79P	ZNF726	ZNF555	PRED62	WASIR1|ENSG00000185203.7	
		F8A3	snoU109|ENSG00000238754.1			C8orf82	RN7SL158P		LST3	SNORD112|ENSG00000252380.1	EVI2A	ZNF724P		PRED60	F8A3	
		F8A2	RN7SKP126			MIR1234	SCARNA8		AEBP2	SIX1	RN7SL138P	ZNF728		LINC00316	F8A2	
		FUNDC2	RNA5SP73			MIR939	RN7SKP258		RN7SL67P	U3|ENSG00000253014.1	TEFM	ZNF99		LINC00315	FUNDC2	
		SNORA56	RN7SKP156			TMEM249	MIR3152		RN7SL459P	SIX6	SUZ12P	RN7SL860P		LINC00205	SNORA56	
		SNORA36A	RNA5SP72			DGAT1	RN7SL720P		ERP27	MIR5586	RN7SL316P	ZNF208		LINC00334	SNORA36A	
		RN7SL742P	SNORD112|ENSG00000252790.1			SCXA	RN7SL98P		ART4	JKAMP	LRRC37BP1	LINC00664		PRED58	RN7SL742P	
		RN7SL697P	RN7SL654P			SCXB	RN7SL157P		C12orf60	GPR135	SMURF2P1	ZNF738		PRED57	RN7SL697P	
		LAGE3	RNA5SP71			MIR661	LINC00583		RN7SKP134	ACTR10	SNORD63|ENSG00000252112.1	RNA5SP469		SSR4P1	LAGE3	
		SNORA70|ENSG00000207165.1	RN7SKP229			EPPK1	LURAP1L		PLBD1	RN7SL598P	MIR423	ZNF66		LINC00162	SNORA70|ENSG00000207165.1	
		TEX28P1	RNA5SP70			MIR937	RN7SL849P		RPL30P11	C14orf37	MIR3184	ZNF737		LINC00163	TEX28P1	
		OPN1MW	CACNA1E			CCDC166	RN7SL5P		RN7SL676P	RN7SKP99	RNY4P13	ZNF826P		C21orf90	OPN1MW	
		TEX28P2	DHX9			7SK|ENSG00000254144.2	SNORD27|ENSG00000251699.1		RN7SL46P	NAA30	RNY4P13	ZNF90		LRRC3DN	TEX28P2	
		NAA10	GLUL			ZNF696	RN7SL123P		RN7SKP162	RN7SL461P	snoU13|ENSG00000239129.1	ZNF253		snoZ6|ENSG00000264452.1	NAA10	
		LCA10	LAMC1			ZFP41	snoU13|ENSG00000252110.1		GRIN2B	LINC00520	SNORA70|ENSG00000252657.1	ZNF506		snoZ6|ENSG00000266692.1	LCA10	
		SNORD36|ENSG00000251846.1	LAMC2			LY6K	RN7SL25P		RNA5SP353	RPL13AP3	MIR4523	LINC00663		RRP1	SNORD36|ENSG00000251846.1	
		RN7SL687P	NCF2			JRK	C9orf38		HTR7P1	TBPL2	TIAF1	ZNF101		CSTB	RN7SL687P	
		RN7SL667P	PDC			ARC	MLANA		SNORD88	MIR4308	NEK8	NDUFA13		LINC00322	RN7SL667P	
		snoU13|ENSG00000239037.1	PLA2G4A			LINC00051	snoU13|ENSG00000238654.1		GPRC5A	RNU6ATAC9P	SNORD4B	MIR640		MIR5692B	snoU13|ENSG00000239037.1	
		PNMA6B	PTGS2			SNORD5|ENSG00000238854.1	INSL4		MIR613	RN7SL588P	SNORD42A	MEF2BNB		NDUFV3	PNMA6B	
		PNMA6D	RGS1			PTP4A3	AK3		DUSP16	ERO1L	SNORD4A	MEF2B		RNA5SP492	PNMA6D	
		PNMA6A	RGS2			RNA5SP278	CDC37L1		LOH12CR2	RNA5SP385	SNORD42B	RN7SL70P		SNORA3|ENSG00000251778.1	PNMA6A	
		RN7SL190P	RGS13			MIR151A	CARM1P1		TAS2R30	LINC00640	RPL23A	RN7SL155P		LINC00112	RN7SL190P	
		CETN2	RGS16			CASC7	RN7SL592P		TAS2R64P	LINC00519	SGK494	COMP		LINC00111	CETN2	
		CSAG2	RNASEL			C8orf17	RNA5SP279		TAS2R20	SNORA70|ENSG00000201376.1	VTN	NCAN		snoU13|ENSG00000252771.1	CSAG2	
		CSAG4	RNF2			SNORA25|ENSG00000251744.1	RN7SL412P		TAS2R14	TMX1	SEBOX	GDF1		SNORA32|ENSG00000207503.1	CSAG4	
		MAGEA2B	TROVE2			SNORA40|ENSG00000212273.1	FAM138C		PRH2	snoU83B	MIR4723	UPF1		FAM3B	MAGEA2B	
		CSAG3	TPR			WISP1	PLIN2		TAS2R8	RN7SL452P	TMEM199	UBA52		LINC00323	CSAG3	
		GABRQ	B3GALT2			HPYR1	DMRT1		MAGOHB	CDKL1	Vault|ENSG00000252283.1	ZNF14		SNORA51|ENSG00000207147.1	GABRQ	
		MIR452	SMG7			OC90	FOXD4		EIF2S3L	MIR4504	SNORA70|ENSG00000202389.1	ZNF708		MIR4760	MIR452	
		MIR224	ARPC5			SNORA72|ENSG00000252158.1	GLDC		RN7SKP161	RN7SKP193	SCARNA20|ENSG00000251818.1	ZNF43		snoU13|ENSG00000238556.1	MIR224	
		U3|ENSG00000253009.1	PRG4			SNORA12|ENSG00000212342.1	JAK2		KLRF2	ARF6	RN7SL576P	ZNF85		SNORA62|ENSG00000272015.1	U3|ENSG00000253009.1	
		LINC00894	IVNS1ABP			SNORA25|ENSG00000200075.1	NFIB		CLEC2B	RN7SL2	LGALS9	ZNF91		snoU13|ENSG00000238581.1	LINC00894	
		LINC00893	OCLM			CCDC26	PTPRD		CLEC2D	RN7SL3	KSR1	ELL		KCNJ6	LINC00893	
		RN7SKP267	NMNAT2			RN7SKP206	RFX3		KLRB1	RNU6ATAC30P	TBC1D3P5	RFXANK		RN7SL678P	RN7SKP267	
		CXorf51A	COLGALT2			LINC00977	RLN1		SNORA75|ENSG00000212432.1	RPL36AL	MTND1P15	LPAR2		RNA5SP491	CXorf51A	
		CXorf51B	RGL1			RN7SKP226	RLN2		SNORA75|ENSG00000212440.1	RN7SL1	UBBP4	CRLF1		CHAF1B	CXorf51B	
		RNA5SP517	GLRX2			TMEM75	RPS6		LINC00987	RNA5SP384	RN7SL426P	HOMER3		snoU13|ENSG00000238851.1	RNA5SP517	
		SPANXN1	IER5			POU5F1B	SH3GL2		A2MP1	SNORD112|ENSG00000251824.1	TMEM11	ZNF254		RN7SL73P	SPANXN1	
		RN7SKP189	UCHL5			CASC8	SLC1A1		LINC00612	LINC00648	KRT16P3	SUGP2		FKSG68	RN7SKP189	
		RN7SKP149	SWT1			CCAT1	SMARCA2		SCARNA11|ENSG00000252727.1	SNORA25|ENSG00000251735.1	NOS2P3	CERS1		ADARB1	RN7SKP149	
		RN7SKP81	C1orf27			PCAT2	SNAPC3		FAM86FP	LINC00871	USP32P3	COPE		AIRE	RN7SKP81	
		snoU13|ENSG00000239188.1	RGS18			PCAT1	TYRP1		FAM66C	SNORD127	UPF3AP2	CRTC1		PTTG1IP	snoU13|ENSG00000239188.1	
		RNA5SP516	CDC73			LINC00861	VLDLR		NANOGP1	SNORD58	RN7SL17P	MAU2		C21orf2	RNA5SP516	
		SPANXD	EDEM3			RN7SL590P	MPDZ		C1R	snoU13|ENSG00000238501.1	U6|ENSG00000266839.2	FKBP8		RUNX1	SPANXD	
		SPANXA2	NPL			RN7SL329P	CER1		SCARNA12	SNORA31|ENSG00000251858.1	CCDC144CP	TMEM59L		CBR1	SPANXA2	
		SPANXA1	C1orf21			LINC00964	KIAA0020		DSTNP2	FBXO33	ALDH3A1	GMIP		CBR3	SPANXA1	
		RN7SL727P	SHCBP1L			RNF139	RCL1		RPL13P5	LINC00639	ALDOC	ISYNA1		CBS	RN7SL727P	
		MIR505	TRMT1L			TMEM65	DMRT2		RN7SL380P	LINC00517	BLMH	TM6SF2		COL6A1	MIR505	
		SNORA18|ENSG00000252719.1	HMCN1			RN7SKP155	RRAGA		SCARNA11|ENSG00000251898.1	SNORA42|ENSG00000200385.1	CPD	DDX49		COL6A2	SNORA18|ENSG00000252719.1	
		RNU6ATAC23P	RGS8			snoU13|ENSG00000238422.1	PSIP1		SCARNA10	TTC6	CRYBA1	GATAD2A		CRYAA	RNU6ATAC23P	
		snoU13|ENSG00000238485.1	TSEN15			U3|ENSG00000221461.1	INSL6		MRPL51	MIR4503	EVI2B	TMEM161A		DSCAM	snoU13|ENSG00000238485.1	
		MIR504	FAM129A			RNY4P5	KDM4C		RN7SL391P	SLC25A21	FLOT2	C19orf60		DYRK1A	MIR504	
